Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
393,4th year,2,Old,Romblon,Male,4/11/1995,Single,5,2nd,Tablas Island,No,Yes,No,Yes,2,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,Im happy,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,4,A SOFTCOPY of your module,5,Yes,4,Yes,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Module Content and Presentation
394,1st year,4,New,Romblon,Male,3/9/2002,Single,3,1st,Tablas Island,No,No,No,Yes,4,Happy / Excited,Happy,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger",3,4,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
395,1st year,5,Old,Romblon,Male,4/8/2001,Single,2,2nd,Tablas Island,No,No,No,Yes,2,Did not feel anything,Ok,Module is the primary tool in learning;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable,2,2,Yes,2,A SOFTCOPY of your module,5,Yes,2,Yes,4,Yes,Module Content and Presentation,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson
396,1st year,4,New,Romblon,Male,2/25/1997,Single,4,2nd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because i feel that if gives me a hard time to understand the lesson,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity",4,4,Yes,4,A SOFTCOPY of your module,4,Yes,4,Yes,5,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
397,2nd Year,2,New,Romblon,Male,3/10/2021,Single,2,3rd,Tablas Island,No,Yes,No,Yes,2,Happy / Excited,Para maka sabay sa learning,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A HARCOPY of your module,2,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
398,3rd year,2,Old,Romblon,Female,8/24/1998,Single,9,7th,Tablas Island,Yes,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,"Because, if there's no face-to-face  it is hard for us the student to learn and understand the lesson that the teacher want us to learn. ","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,5,Yes,5,No,5,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises
399,3rd year,1,New,Romblon,Male,7/29/1998,Single,4,2nd,Tablas Island,No,No,Yes,Yes,1,Worried / Nervous,Because there's no internet connection on oir place,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective",3,4,Yes,3,A SOFTCOPY of your module,2,Yes,4,Yes,1,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
400,3rd year,2,Old,Romblon,Male,2/14/1993,Single,4,1st,Tablas Island,No,Yes,,Yes,4,Sad / Disappointed,Less focus regarding of academic.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Learning would not be that effective",3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,1,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
401,1st year,5,Old,Romblon,Male,10/11/2001,Single,3,2nd,Tablas Island,No,No,,Yes,1,Sad / Disappointed;Worried / Nervous,Worried and nervous,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,5,Yes,4,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
402,1st year,5,Old,Romblon,Female,7/24/2001,Single,11,9th,Tablas Island,No,No,No,Yes,3,Sad / Disappointed;Worried / Nervous,Because the internet connection wasn't stable and not having the internet connection always.,Entirely no Face-to-Face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,4,A HARCOPY of your module,5,Yes,5,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
403,3rd year,1,New,Romblon,Male,7/6/2000,Single,3,3rd,Tablas Island,No,No,Yes,Yes,4,Worried / Nervous,I'm feel worried because face to face interaction is more applicable for me 'cause I easily understand the subject of I myself see and hear it personally ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
404,1st year,6,New,Romblon,Male,5/4/2001,Single,3,2nd,Tablas Island,No,No,No,Yes,2,Sad / Disappointed;Worried / Nervous,"I feel sad that we are facing this problem at the same time disappointed because of this new learning system, my place has a dead end of internet connection when I'm going to take quizzes and activities in every subject I need to go when the internet speed is okay, I feel worried at first about this new learning and nervous too I'm thinking what i learn in is type of system should I say nothing or I need to strive more to achieve what I've started, at the end of the day we need learn even though it's hard and harder the challenges we face this days.","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
405,1st year,5,Old,Romblon,Male,3/31/2002,Single,2,3rd,Tablas Island,No,No,Yes,Yes,3,Did not feel anything,It is t normal on me if it is f2f or online,Module is the primary tool in learning,4,4,Yes,3,A SOFTCOPY of your module,4,Yes,5,Yes,5,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
406,1st year,2,New,Romblon,Female,12/26/2000,Single,4,2nd,Tablas Island,No,No,No,Yes,1,Happy / Excited,Because I want to experience something new,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited,3,3,Yes,3,A HARCOPY of your module,3,Yes,3,No,3,No,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
407,3rd year,1,New,Romblon,Male,8/24/1999,Single,3,1st,Tablas Island,No,Yes,Yes,Yes,2,Worried / Nervous,Cause not very close,"Exercises, quizzes, and major examinations will be done online or face-to-face;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",3,4,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,3,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises
408,1st year,4,New,Romblon,Male,11/4/2001,Single,3,5th,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,Because it's hard to study by yourself without teacher to explain the things that I don't understand.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,5,No,2,No,5,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
409,3rd year,1,New,Romblon,Male,10/27/1999,Single,3,1st,Tablas Island,No,No,No,Yes,1,Sad / Disappointed,Because i can't afford the cost of this online class we're lack of money.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",3,3,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
410,3rd year,2,Old,Romblon,Male,11/17/1995,Single,8,4th,Tablas Island,No,Yes,,Yes,3,Did not feel anything,Because i didn't feel that im a student right now 8p,Only a softcopy of the module would be distributed to students via email or messenger,2,2,Yes,2,A SOFTCOPY of your module,5,Yes,3,Yes,4,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Delivery / Use of Videos, PowerPoint, and other Learning Tools","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
411,3rd year,2,Old,Romblon,Female,1/25/1997,Single,6,3rd,Tablas Island,Yes,Yes,,Yes,2,Worried / Nervous,Worried kasi meron din akong anak na nag aaral how i can manage my modules and my son's modules as well as the household chores. ,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,4,A HARCOPY of your module,3,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
412,3rd year,1,Old,Romblon,Male,2/10/1999,Single,7,5th,Tablas Island,Yes,Yes,,Yes,4,Did not feel anything,Nothing ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",4,4,Yes,3,A SOFTCOPY of your module,5,Yes,5,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
413,1st year,4,New,Romblon,Male,6/15/2000,Single,4,1st,Tablas Island,No,Yes,No,Yes,2,Sad / Disappointed;Worried / Nervous,Because I'm a slow learner,Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,4,No,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
414,2nd Year,2,New,Romblon,Female,5/16/2001,Single,6,6th,"Tres Islas (Banton, Sibale, Simara)",No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,It is because there are times that there is no interet connection and I can't take and pass the quiz/exam and exercise on time. Also it is hard to understand some lesson unlike when it is face to face.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,2,Yes,4,No,5,No,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
415,1st year,6,New,Romblon,Male,10/23/2021,Single,4,5th,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,I feel so sad because no face-to face i can't see my classmate,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",4,3,No,2,A SOFTCOPY of your module,5,Yes,4,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
416,1st year,4,New,Romblon,Female,8/6/2002,Single,2,1st,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Worried and Nervous because maybe nothing to learn from online class,A hardcopy of the module would be distributed to all students,3,4,Yes,5,A HARCOPY of your module,4,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
417,1st year,4,New,Romblon,Male,6/18/2001,Single,5,4th,Tablas Island,Yes,No,No,Yes,2,Sad / Disappointed;Worried / Nervous,Because that situation is new for us. I am worried on how I will understand the lessons through online class.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,2,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
418,3rd year,3,Old,Romblon,Female,2/11/1997,Single,3,3rd,Tablas Island,No,No,Yes,Yes,4,Sad / Disappointed;Worried / Nervous,A bit sad since it became a challenge for us as a students to learn by ourselves and explore what else we can do. Also worrying that  i didn't met the necessary requirements for each class. ,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited",4,5,Yes,4,A HARCOPY of your module,4,Yes,5,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
419,3rd year,1,New,Romblon,Female,5/21/2000,Single,5,5th,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed;Worried / Nervous,"Because sometimes mistakes in each answer  cause error and slow connection, ","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",4,4,Yes,5,A HARCOPY of your module,3,Yes,5,No,1,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
420,3rd year,1,New,Romblon,Male,6/10/1999,Single,2,2nd,Tablas Island,No,No,Yes,Yes,3,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,"I'm happy because I avoided covid 19, but I'm sad because my education was affected and then I changed the education system","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited",3,4,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
421,3rd year,1,New,Romblon,Male,5/11/2000,Single,9,8th,Tablas Island,No,No,Yes,Yes,3,Did not feel anything,Either way the education still in our hands face to face or not. I can learn both ways,A hardcopy of the module would be distributed to all students;Internet connection is a necessity,3,3,Yes,3,A SOFTCOPY of your module,4,Yes,3,Yes,1,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
422,1st year,1,New,Romblon,Male,12/4/2001,Single,5,5th,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,The reason why I feel that way is that I can't concurrent to others because my place is lack of signal and it's hard for me to get the lesson because sometimes I can't understand it without a teacher.,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,4,A HARCOPY of your module,3,Yes,3,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
423,3rd year,1,New,Romblon,Male,3/18/2000,Single,8,3rd,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,Internet Subscription is expensive,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",2,3,Yes,3,A SOFTCOPY of your module,2,Yes,3,Yes,4,No,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
424,1st year,1,New,Romblon,Female,1/5/2002,Single,2,One,Tablas Island,No,No,No,Yes,4,Happy / Excited;Sad / Disappointed,Happy and exicited,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,5,Yes,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
425,3rd year,2,Old,Romblon,Female,8/7/1997,Single,8,3rd,"National Capital Region (Manila, Quezon City, etc.)",Yes,No,Yes,Yes,4,Happy / Excited,"Because I was locked down in NCR, and if the class was face to face, I wouldn't be able to attend the class.","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,5,Yes,5,Yes,5,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
428,3rd year,2,Old,Romblon,Female,5/18/1996,Single,2,9th,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Dahil mahirap magstudy by your own merun man peru magkaiba kung may nagtuturo in actual po,A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,2,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
429,3rd year,1,Old,Romblon,Male,1/19/1998,Single,3,1st,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,The things that I would learn would be lessen. Because its much easier to learn on face to face ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,No,3,No,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
430,3rd year,2,Old,Romblon,Male,11/30/1998,Single,2,1st,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed,It's because learning from online/module is way more harder than learning on a face to face class.,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",2,4,Yes,3,A HARCOPY of your module,2,Yes,4,Yes,1,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
431,3rd year,2,Old,Romblon,Male,7/17/1993,Single,6,6th,Tablas Island,No,No,Yes,Yes,1,Worried / Nervous,Because in our place. Has a weak cignal,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,2,Yes,5,Yes,4,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
432,1st year,2,New,Romblon,Male,2/25/2001,Single,4,4th,Tablas Island,No,No,No,Yes,3,Worried / Nervous,because I have difficulty learning the contents of the modules especially in the subject of mathematics when it is not taught to me.,Entirely no Face-to-Face;Module is the primary tool in learning;Learning would not be that effective,2,2,Yes,2,A HARCOPY of your module,5,Yes,5,No,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
433,3rd year,1,New,Romblon,Male,5/28/1999,Single,4,3rd,Tablas Island,No,Yes,,Yes,2,Did not feel anything,Nothing,"Exercises, quizzes, and major examinations will be done online or face-to-face;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",2,2,Yes,4,A SOFTCOPY of your module,3,Yes,4,Yes,5,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
434,1st year,4,New,Romblon,Female,3/24/2021,Single,3,1st,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed,"Course I was already having a difficulty on understanding our lesson in Face to face, how much more now that it's online, but I'm coping thought.","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",3,3,No,2,A SOFTCOPY of your module,2,Yes,5,No,3,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
435,1st year,6,Old,Romblon,Female,1/25/2001,Single,4,2nd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,nervous,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective",2,3,Yes,2,A SOFTCOPY of your module,3,Yes,3,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
436,1st year,5,Old,Romblon,Female,11/21/2001,Single,5,2nd,Tablas Island,No,Yes,,Yes,2,Happy / Excited,Because i do something new and more learning in school,Module is the primary tool in learning,3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
